,varied_parameter,level,sublevel,number_low,number_high,baseline_value,unit,variation,new_value_low,new_value_high,start,end,run_id_low,run_id_high,total_erosion_low[m],total_erosion_high[m],rnte_low[-],rnte_high[-],volume_start_low[m2],volume_end_low[m2],volume_change_low[m2],volume_loss_low[m2],volume_start_high[m2],volume_end_high[m2],volume_change_high[m2],volume_loss_high[m2],erosion_diff[m],volume_change_diff[m2],volume_change_total[m2]
14,Grid resolution thermal module,1.0,model,29.0,30.0,150,nodes,+-20%,120,180,01/01/2017,01/01/2018,sa_lvl1_29,sa_lvl1_30,6.0,4.0,1.5,1.0,520.833327601287,500.286761677055,-20.546565924232027,20.546565924232027,520.833327601287,500.57599715051697,-20.25733045077004,20.25733045077004,2.0,0.28923547346198575,1.4385694299942315
6,Maximum offshore depth,1.0,bathymetry,13.0,14.0,5,m,+-20%,4,6,01/01/2017,01/01/2018,sa_lvl1_13,sa_lvl1_14,6.0,4.0,1.5,1.0,520.8333406453976,500.0673368726375,-20.766003772760087,20.766003772760087,520.8333340443437,500.7917061064141,-20.04162793792966,20.04162793792966,2.0,0.7243758348304254,1.4423047656819108
3,Beach slope,1.0,bathymetry,7.0,8.0,0.1,-,+-20%,0.08,0.12,01/01/2017,01/01/2018,sa_lvl1_7,sa_lvl1_8,6.0,4.0,1.5,1.0,520.833327601287,499.7974993670112,-21.03582823427587,21.03582823427587,520.833327601287,500.87933251405696,-19.95399508723005,19.95399508723005,2.0,1.081833147045817,1.624496376498083
16,Thaw depth,1.0,model,33.0,34.0,3,nodes,+-33%,2,4,01/01/2017,01/01/2018,sa_lvl1_33,sa_lvl1_34,4.0,6.0,1.0,1.5,520.833327601287,501.1218521990911,-19.7114754021959,19.7114754021959,520.833327601287,499.1830761482147,-21.650251453072315,21.650251453072315,2.0,1.9387760508764131,1.9963999102603793
8,Continental flat width,1.0,bathymetry,17.0,18.0,400,m,+-20%,320,480,01/01/2017,01/01/2018,sa_lvl1_17,sa_lvl1_18,4.0,6.0,1.0,1.5,520.8333338114388,501.15241241079787,-19.680921400640955,19.680921400640955,520.833330983427,498.86625519522113,-21.967075788205875,21.967075788205875,2.0,2.2861543875649204,2.2861543875649204
21,Bed friction coefficient,1.0,physical,43.0,44.0,0.02,-,+-20%,0.016,0.024,01/01/2017,01/01/2018,sa_lvl1_43,sa_lvl1_44,6.0,4.0,1.5,1.0,520.833327601287,498.8392160017936,-21.994111599493408,21.994111599493408,520.833327601287,501.165597498212,-19.667730103074973,19.667730103074973,2.0,2.326381496418435,2.326381496418435
27,Thermal conductivity (frozen soil),1.0,physical,55.0,56.0,2.7,W/m/K,+-20%,2.16,3.24,01/01/2017,01/01/2018,sa_lvl1_55,sa_lvl1_56,4.0,6.0,1.0,1.5,520.833327601287,501.67292827472943,-19.16039932655758,19.16039932655758,520.833327601287,499.3400110893019,-21.49331651198509,21.49331651198509,2.0,2.332917185427508,2.332917185427508
32,Geothermal gradient,1.0,physical,65.0,66.0,0.025,K/m,+-20%,0.02,0.03,01/01/2017,01/01/2018,sa_lvl1_65,sa_lvl1_66,4.0,6.0,1.0,1.5,520.833327601287,501.1651004977459,-19.668227103541085,19.668227103541085,520.833327601287,498.7296318225722,-22.10369577871484,22.10369577871484,2.0,2.4354686751737553,2.4354686751737553
29,Latent heat of fusion,1.0,physical,59.0,60.0,334000,J/kg,+-20%,267200,400800,01/01/2017,01/01/2018,sa_lvl1_59,sa_lvl1_60,6.0,4.0,1.5,1.0,520.833327601287,499.2686530900562,-21.564674511230805,21.564674511230805,520.833327601287,501.80154509452655,-19.031782506760464,19.031782506760464,2.0,2.532892004470341,2.532892004470341
0,Bluff height,1.0,bathymetry,1.0,2.0,12,m,+-20%,9.6,14.4,01/01/2017,01/01/2018,sa_lvl1_1,sa_lvl1_2,6.0,4.0,1.5,1.0,520.8333438458534,499.49998380257273,-21.333360043280663,21.333360043280663,520.8333367677683,502.06095185429126,-18.772384913477023,18.772384913477023,2.0,2.5609751298036407,2.5609751298036407
